verb,regularity,past_form,zipf_lemma,zipf_past
blow,IRREGULAR,blew,4.59,4.12
build,IRREGULAR,built,5.04,5.07
carry,REGULAR,carried,4.89,4.77
climb,REGULAR,climbed,4.22,3.85
dig,IRREGULAR,dug,4.22,3.86
drag,REGULAR,dragged,4.29,4.0
drink,IRREGULAR,drank,4.9,3.95
eat,IRREGULAR,ate,5.13,4.34
paint,REGULAR,painted,4.52,4.35
peel,REGULAR,peeled,3.8,3.34
play,REGULAR,played,5.61,5.23
push,REGULAR,pushed,4.82,4.43
read,IRREGULAR,read,5.54,5.54
ride,IRREGULAR,rode,4.85,3.91
shake,IRREGULAR,shook,4.33,4.05
smell,REGULAR,smelled,4.49,3.5
spin,IRREGULAR,spun,4.38,3.67
stir,REGULAR,stirred,3.96,3.47
sweep,IRREGULAR,swept,3.97,3.94
wash,REGULAR,washed,4.46,4.1
