combo,character,verb,verb_type,best_version,combined_score,gemini_score,gemini_recommendation,clip_clarity,clip_verdict,issues
"chef_blow_bubbles","chef","blow","irregular","v4",72.5,35,"keep",45,"unclear",""
"chef_build_tower","chef","build","irregular","v1",66.8,31,"keep",45,"unclear","The character is placing a block on top of the tower, which is not a very dynamic action, making it feel slightly staged.; The tower's construction implies some level of completion or progression."
"chef_carry_box","chef","carry","regular","v5",69.6,33,"keep",45,"unclear","The chef is simply carrying a box, not actively doing anything to it. This feels more like a state of being rather than an action.; The chef's pose is somewhat static, lacking dynamism."
"chef_climb_ladder","chef","climb","regular","v2",72.5,35,"keep",45,"unclear",""
"chef_dig_hole","chef","dig","irregular","v1",68.6,24,"maybe",,"unclear","Pile of material next to the hole suggests a result state (the hole exists, there is a pile next to it); The chef is moving material, suggesting it is already partly done; Hole is already dug - completion evidence."
"chef_drag_sack","chef","drag","practice","v1",68.2,32,"keep",45,"unclear","The slight movement from the bag touching the floor hints at some prior progress or a dragging action, which impacts the 'no result states' score slightly."
"chef_drink_coffee","chef","drink","irregular","v1",91.4,32,"keep",,"unclear","The action of 'smelling' is not as dynamic as other actions, and this image isn't easily perceived as mid-action.; It's difficult to describe this as an action with a clear past or future tense; it feels more like a state (the chef is smelling coffee/tea)."
"chef_eat_apple","chef","eat","irregular","v1",62.5,28,"maybe",45,"unclear","The chef is just holding the apple. There is no dynamic eating action, so it is just before.; Apple orientation might suggest intent or direction of action - slight bias.; Tense usage is a bit biased towards future tense - more natural to say the chef 'will' eat the apple, as he's just holding it."
"chef_paint_canvas","chef","paint","regular","v3",72.5,35,"keep",45,"unclear",""
"chef_peel_banana","chef","peel","regular","v5",82.9,29,"maybe",,"unclear","The banana has already been partially peeled. This introduces a slight sense of completion.; The action of 'slicing/cutting' isn't clear enough. It appears the chef is preparing to cut the banana but isn't actually doing so at this moment. Feels anticipatory. The knife is placed almost touching the banana."
"chef_play_guitar","chef","play","regular","v2",80.0,35,"keep",60,"ambiguous",""
"chef_push_cart","chef","push","regular","v3",69.6,33,"keep",45,"unclear",""
"chef_read_book","chef","read","irregular","v2",66.8,31,"maybe",45,"unclear","The chef is holding a book but not reading. It's not clear what action is being performed - just holding a book is not really an action.; The book is closed and pristine, but the chef isn't actively opening or closing it, so there's no clear action being performed."
